PlotID,TreeID,YR,PrevYR,Status,DBH,Species,Latitude,Longitude,PA,TreeH,AGB,Country,ForestType,Bioregion,Continent,Locality
BRA-0002,BRA-0002-T11,1943,,0,21.2,Khaya ivorensis,-8.6429,-61.54771,0.25,9.4,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 2
BRA-0003,BRA-0003-T01,2023,,0,23.9,Nothofagus pumilio,-1.72852,-62.42931,1.0,12.5,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 3
BRA-0003,BRA-0003-T02,2023,,0,51.0,Khaya ivorensis,-1.72852,-62.42931,1.0,34.2,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 3
BRA-0003,BRA-0003-T03,2023,,0,55.8,Juniperus thurifera,-1.72852,-62.42931,1.0,14.3,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 3
BRA-0003,BRA-0003-T04,2023,,0,50.7,Avicennia germinans,-1.72852,-62.42931,1.0,26.4,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 3
BRA-0003,BRA-0003-T05,2023,,0,48.6,Inga edulis,-1.72852,-62.42931,1.0,27.4,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 3
BRA-0003,BRA-0003-T06,2023,,0,36.0,Avicennia germinans,-1.72852,-62.42931,1.0,13.4,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 3
BRA-0004,BRA-0004-T01,1987,,0,46.6,Avicennia germinans,-2.7298,-52.67033,0.5,22.8,,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 4
BRA-0004,BRA-0004-T02,1987,,0,42.5,Inga edulis,-2.7298,-52.67033,0.5,31.7,,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 4
BRA-0004,BRA-0004-T03,1987,,0,19.9,Tsuga canadensis,-2.7298,-52.67033,0.5,14.1,,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 4
BRA-0004,BRA-0004-T04,1987,,0,19.8,Inga edulis,-2.7298,-52.67033,0.5,20.8,,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 4
BRA-0004,BRA-0004-T05,1987,,0,58.5,Acer saccharum,-2.7298,-52.67033,0.5,19.2,,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 4
BRA-0004,BRA-0004-T06,1987,,0,48.6,Betula pendula,-2.7298,-52.67033,0.5,16.9,,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 4
BRA-0004,BRA-0004-T07,1987,,0,39.5,Populus tremula,-2.7298,-52.67033,0.5,22.0,,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 4
BRA-0004,BRA-0004-T08,1987,,0,32.4,Cecropia obtusa,-2.7298,-52.67033,0.5,21.0,,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 4
BRA-0004,BRA-0004-T09,1987,,0,25.1,Avicennia germinans,-2.7298,-52.67033,0.5,19.5,,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 4
BRA-0005,BRA-0005-T01,1964,,0,12.1,Khaya ivorensis,-6.77463,-50.20953,1.0,35.0,1.339,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0005,BRA-0005-T01,1969,1964,0,11.2,Khaya ivorensis,-6.77463,-50.20953,1.0,35.0,1.339,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0005,BRA-0005-T02,1964,,0,13.3,Populus tremula,-6.77463,-50.20953,1.0,10.1,0.192,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0005,BRA-0005-T02,1969,1964,0,13.4,Populus tremula,-6.77463,-50.20953,1.0,10.1,0.192,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0005,BRA-0005-T03,1964,,0,53.7,Milicia excelsa,-6.77463,-50.20953,1.0,13.7,2.726,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0005,BRA-0005-T03,1969,1964,0,53.3,Milicia excelsa,-6.77463,-50.20953,1.0,13.7,2.726,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0005,BRA-0005-T04,1964,,0,8.5,Shorea leprosula,-6.77463,-50.20953,1.0,17.0,3.704,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0005,BRA-0005-T04,1969,1964,0,8.4,Shorea leprosula,-6.77463,-50.20953,1.0,17.0,3.704,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0005,BRA-0005-T05,1964,,0,8.6,Khaya ivorensis,-6.77463,-50.20953,1.0,27.6,4.452,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0005,BRA-0005-T05,1969,1964,0,7.4,Khaya ivorensis,-6.77463,-50.20953,1.0,27.6,4.452,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0005,BRA-0005-T06,1964,,0,33.6,Tsuga canadensis,-6.77463,-50.20953,1.0,23.5,3.541,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0005,BRA-0005-T06,1969,1964,0,33.0,Tsuga canadensis,-6.77463,-50.20953,1.0,23.5,3.541,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 5
BRA-0006,BRA-0006-T01,1994,,0,49.6,Cecropia obtusa,-5.75653,-52.30634,0.5,28.9,0.959,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T01,1998,1994,0,49.2,Cecropia obtusa,-5.75653,-52.30634,0.5,28.9,0.959,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T02,1994,,0,24.5,Betula pendula,-5.75653,-52.30634,0.5,30.1,2.259,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T02,1998,1994,0,24.1,Betula pendula,-5.75653,-52.30634,0.5,30.1,2.259,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T03,1994,,0,49.2,Inga edulis,-5.75653,-52.30634,0.5,28.7,1.362,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T03,1998,1994,0,48.2,Inga edulis,-5.75653,-52.30634,0.5,28.7,1.362,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T04,1994,,0,38.7,Eperua falcata,-5.75653,-52.30634,0.5,32.0,4.114,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T04,1998,1994,0,38.6,Eperua falcata,-5.75653,-52.30634,0.5,32.0,4.114,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T05,1994,,0,36.9,Pinus sylvestris,-5.75653,-52.30634,0.5,13.7,0.507,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T05,1998,1994,0,37.4,Pinus sylvestris,-5.75653,-52.30634,0.5,13.7,0.507,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T06,1994,,0,44.4,Picea abies,-5.75653,-52.30634,0.5,13.3,3.723,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T06,1998,1994,0,44.6,Picea abies,-5.75653,-52.30634,0.5,13.3,3.723,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T07,1994,,0,23.3,Inga edulis,-5.75653,-52.30634,0.5,15.0,2.975,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0006,BRA-0006-T07,1998,1994,0,23.9,Inga edulis,-5.75653,-52.30634,0.5,15.0,2.975,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 6
BRA-0007,BRA-0007-T01,1943,,0,29.1,Cecropia obtusa,-2.68063,-66.94317,0.1,,4.453,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 7
BRA-0007,BRA-0007-T02,1943,,0,33.8,Cecropia obtusa,-2.68063,-66.94317,0.1,,0.328,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 7
BRA-0007,BRA-0007-T03,1943,,0,15.0,Tsuga canadensis,-2.68063,-66.94317,0.1,,0.941,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 7
BRA-0007,BRA-0007-T04,1943,,0,33.6,Milicia excelsa,-2.68063,-66.94317,0.1,,2.725,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 7
BRA-0007,BRA-0007-T05,1943,,0,19.0,Juniperus thurifera,-2.68063,-66.94317,0.1,,3.231,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 7
BRA-0007,BRA-0007-T06,1943,,0,8.4,Tsuga canadensis,-2.68063,-66.94317,0.1,,0.659,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 7
BRA-0007,BRA-0007-T07,1943,,0,40.7,Inga edulis,-2.68063,-66.94317,0.1,,1.126,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 7
BRA-0007,BRA-0007-T08,1943,,0,55.5,Juniperus thurifera,-2.68063,-66.94317,0.1,,2.082,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 7
BRA-0007,BRA-0007-T09,1943,,0,23.5,Pinus sylvestris,-2.68063,-66.94317,0.1,,3.967,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 7
BRA-0007,BRA-0007-T10,1943,,0,29.1,Dipterocarpus grandiflorus,-2.68063,-66.94317,0.1,,3.709,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 7
BRA-0007,BRA-0007-T11,1943,,0,21.5,Cecropia obtusa,-2.68063,-66.94317,0.1,,4.052,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 7
BRA-0008,BRA-0008-T01,1948,,0,57.2,Inga edulis,-5.43575,-64.6635,0.25,13.5,2.567,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 8
BRA-0008,BRA-0008-T02,1948,,0,20.9,Fagus sylvatica,-5.43575,-64.6635,0.25,34.1,1.247,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 8
BRA-0008,BRA-0008-T03,1948,,0,44.0,Dipterocarpus grandiflorus,-5.43575,-64.6635,0.25,10.0,3.275,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 8
BRA-0008,BRA-0008-T04,1948,,0,30.2,Avicennia germinans,-5.43575,-64.6635,0.25,30.9,0.563,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 8
BRA-0008,BRA-0008-T05,1948,,0,35.2,Picea abies,-5.43575,-64.6635,0.25,31.4,1.857,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 8
BRA-0008,BRA-0008-T06,1948,,0,35.3,Tsuga canadensis,-5.43575,-64.6635,0.25,21.9,0.348,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 8
BRA-0008,BRA-0008-T07,1948,,0,28.6,Rhizophora mangle,-5.43575,-64.6635,0.25,30.4,3.854,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 8
BRA-0008,BRA-0008-T08,1948,,0,21.5,Quercus robur,-5.43575,-64.6635,0.25,29.3,0.631,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 8
BRA-0009,BRA-0009-T01,1948,,0,32.9,Avicennia germinans,-7.46322,-57.22101,1.0,10.5,2.963,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 9
BRA-0009,BRA-0009-T02,1948,,0,15.6,Rhizophora mangle,-7.46322,-57.22101,1.0,32.6,3.79,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 9
BRA-0009,BRA-0009-T03,1948,,0,40.8,Quercus robur,-7.46322,-57.22101,1.0,13.3,0.576,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 9
BRA-0009,BRA-0009-T04,1948,,0,12.2,Acer saccharum,-7.46322,-57.22101,1.0,30.9,3.055,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 9
BRA-0009,BRA-0009-T05,1948,,0,17.6,Ocotea aciphylla,-7.46322,-57.22101,1.0,29.4,4.019,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 9
BRA-0009,BRA-0009-T06,1948,,0,45.6,Rhizophora mangle,-7.46322,-57.22101,1.0,33.1,3.656,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 9
BRA-0009,BRA-0009-T07,1948,,1,56.4,Milicia excelsa,-7.46322,-57.22101,1.0,19.7,1.401,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 9
BRA-0009,BRA-0009-T08,1948,,0,10.6,Quercus robur,-7.46322,-57.22101,1.0,19.3,0.924,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 9
BRA-0010,BRA-0010-T01,1949,,0,12.9,Tsuga canadensis,-2.53086,-53.36669,0.25,20.7,4.452,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 10
BRA-0010,BRA-0010-T02,1949,,0,44.7,Tsuga canadensis,-2.53086,-53.36669,0.25,9.9,4.315,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 10
BRA-0010,BRA-0010-T03,1949,,0,17.1,Milicia excelsa,-2.53086,-53.36669,0.25,13.0,1.882,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 10
BRA-0010,BRA-0010-T04,1949,,0,25.4,Eperua falcata,-2.53086,-53.36669,0.25,26.8,2.819,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 10
BRA-0010,BRA-0010-T05,1949,,0,58.7,Inga edulis,-2.53086,-53.36669,0.25,11.6,0.978,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 10
BRA-0010,BRA-0010-T06,1949,,0,8.8,Acer saccharum,-2.53086,-53.36669,0.25,27.6,0.074,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 10
BRA-0011,BRA-0011-T01,2004,,1,43.5,Pinus sylvestris,-8.59642,-59.44652,1.0,16.4,2.815,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 11
BRA-0011,BRA-0011-T02,2004,,0,30.2,Tsuga canadensis,-8.59642,-59.44652,1.0,31.0,2.258,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 11
BRA-0011,BRA-0011-T03,2004,,0,50.7,Nothofagus pumilio,-8.59642,-59.44652,1.0,35.7,2.57,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 11
BRA-0011,BRA-0011-T04,2004,,0,40.4,Picea abies,-8.59642,-59.44652,1.0,37.4,3.139,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 11
BRA-0011,BRA-0011-T05,2004,,0,25.9,Betula pendula,-8.59642,-59.44652,1.0,27.1,3.98,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 11
BRA-0011,BRA-0011-T06,2004,,0,34.0,Milicia excelsa,-8.59642,-59.44652,1.0,18.1,2.746,Brazil,Tropical,Tropical moist broadleaf forests,South America,Brazil site 11
BRA-0012,BRA-0012-T01,2004,,0,48.1,Khaya ivorensis,-8.09007,-63.23829,1.0,23.1,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T01,2014,2004,0,48.0,Khaya ivorensis,-8.09007,-63.23829,1.0,23.1,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T02,2004,,0,24.7,Picea abies,-8.09007,-63.23829,1.0,30.1,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T02,2014,2004,0,23.7,Picea abies,-8.09007,-63.23829,1.0,30.1,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T03,2004,,0,18.9,Dipterocarpus grandiflorus,-8.09007,-63.23829,1.0,19.3,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T03,2014,2004,0,19.5,Dipterocarpus grandiflorus,-8.09007,-63.23829,1.0,19.3,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T04,2004,,0,47.9,Rhizophora mangle,-8.09007,-63.23829,1.0,17.9,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T04,2014,2004,0,47.9,Rhizophora mangle,-8.09007,-63.23829,1.0,17.9,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T05,2004,,1,43.0,Cecropia obtusa,-8.09007,-63.23829,1.0,16.7,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T05,2014,2004,0,42.0,Cecropia obtusa,-8.09007,-63.23829,1.0,16.7,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T06,2004,,0,10.9,Nothofagus pumilio,-8.09007,-63.23829,1.0,35.5,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T06,2014,2004,0,10.5,Nothofagus pumilio,-8.09007,-63.23829,1.0,35.5,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T07,2004,,0,36.2,Inga edulis,-8.09007,-63.23829,1.0,13.5,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T07,2014,2004,0,36.7,Inga edulis,-8.09007,-63.23829,1.0,13.5,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T08,2004,,0,42.3,Fagus sylvatica,-8.09007,-63.23829,1.0,12.2,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0012,BRA-0012-T08,2014,2004,0,43.0,Fagus sylvatica,-8.09007,-63.23829,1.0,12.2,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 12
BRA-0013,BRA-0013-T01,2004,,0,12.2,Eucalyptus camaldulensis,-8.87535,-51.28972,1.0,29.7,1.415,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0013,BRA-0013-T01,2008,2004,0,12.0,Eucalyptus camaldulensis,-8.87535,-51.28972,1.0,29.7,1.415,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0013,BRA-0013-T02,2004,,0,39.1,Dipterocarpus grandiflorus,-8.87535,-51.28972,1.0,37.0,0.922,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0013,BRA-0013-T02,2008,2004,0,39.6,Dipterocarpus grandiflorus,-8.87535,-51.28972,1.0,37.0,0.922,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0013,BRA-0013-T03,2004,,0,17.1,Inga edulis,-8.87535,-51.28972,1.0,21.2,2.284,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0013,BRA-0013-T03,2008,2004,0,17.0,Inga edulis,-8.87535,-51.28972,1.0,21.2,2.284,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0013,BRA-0013-T04,2004,,0,49.1,Quercus robur,-8.87535,-51.28972,1.0,20.8,0.393,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0013,BRA-0013-T04,2008,2004,0,49.3,Quercus robur,-8.87535,-51.28972,1.0,20.8,0.393,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0013,BRA-0013-T05,2004,,0,21.9,Acer saccharum,-8.87535,-51.28972,1.0,21.9,2.052,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0013,BRA-0013-T05,2008,2004,0,20.9,Acer saccharum,-8.87535,-51.28972,1.0,21.9,2.052,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0013,BRA-0013-T06,2004,,0,18.6,Avicennia germinans,-8.87535,-51.28972,1.0,35.5,0.039,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0013,BRA-0013-T06,2008,2004,0,17.9,Avicennia germinans,-8.87535,-51.28972,1.0,35.5,0.039,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 13
BRA-0014,BRA-0014-T01,1942,,0,28.7,Ocotea aciphylla,-3.81018,-53.98815,0.04,17.2,4.444,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T01,1947,1942,0,28.7,Ocotea aciphylla,-3.81018,-53.98815,0.04,17.2,4.444,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T02,1942,,0,16.8,Juniperus thurifera,-3.81018,-53.98815,0.04,30.9,4.308,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T02,1947,1942,0,16.0,Juniperus thurifera,-3.81018,-53.98815,0.04,30.9,4.308,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T03,1942,,0,45.2,Khaya ivorensis,-3.81018,-53.98815,0.04,28.9,2.936,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T03,1947,1942,1,44.3,Khaya ivorensis,-3.81018,-53.98815,0.04,28.9,2.936,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T04,1942,,0,42.1,Ocotea aciphylla,-3.81018,-53.98815,0.04,28.3,3.145,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T04,1947,1942,0,42.3,Ocotea aciphylla,-3.81018,-53.98815,0.04,28.3,3.145,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T05,1942,,0,21.4,Shorea leprosula,-3.81018,-53.98815,0.04,25.4,2.988,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T05,1947,1942,0,21.2,Shorea leprosula,-3.81018,-53.98815,0.04,25.4,2.988,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T06,1942,,0,29.5,Inga edulis,-3.81018,-53.98815,0.04,25.6,4.056,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T06,1947,1942,0,29.7,Inga edulis,-3.81018,-53.98815,0.04,25.6,4.056,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T07,1942,,0,45.4,Shorea leprosula,-3.81018,-53.98815,0.04,23.0,2.409,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T07,1947,1942,0,45.5,Shorea leprosula,-3.81018,-53.98815,0.04,23.0,2.409,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T08,1942,,0,13.9,Pinus sylvestris,-3.81018,-53.98815,0.04,25.2,3.593,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0014,BRA-0014-T08,1947,1942,0,13.7,Pinus sylvestris,-3.81018,-53.98815,0.04,25.2,3.593,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 14
BRA-0015,BRA-0015-T01,1948,,0,8.3,Dipterocarpus grandiflorus,-2.12588,-53.02609,0.1,13.1,,Brazil,Mixed,Tropical moist broadleaf forests,South America,Brazil site 15
